brand_id,brand_name,aliases
prudential,Prudential,Prudential|Pru|Prudential Viet Nam|Prudential Việt Nam
aia,AIA,AIA|AIA Viet Nam|AIA Việt Nam
manulife,Manulife,Manulife|Manu|Manulife Viet Nam|Manulife Việt Nam
dai_ichi,Dai-ichi Life,Dai-ichi|Daiichi|Dai ichi|Dai-ichi Life
bao_viet,Bảo Việt,Bảo Việt|Bao Viet|BVNT|Bảo Việt Nhân Thọ|Bao Viet Nhan Tho
generali,Generali,Generali|Gen|Generali Viet Nam|Generali Việt Nam
sun_life,Sun Life,Sun Life|Sunlife|Sun
fwd,FWD,FWD|FWD Viet Nam|FWD Việt Nam
chubb_life,Chubb Life,Chubb|Chubb Life
hanwha_life,Hanwha Life,Hanwha|Hanwha Life
mb_ageas_life,MB Ageas Life,MB Ageas|MBAL|MB Ageas Life
cathay_life,Cathay Life,Cathay|Cathay Life
aviva,Aviva,Aviva
phu_hung_life,Phú Hưng Life,Phú Hưng|Phu Hung|Phú Hưng Life
