STT,Ten Group,Link post,Caption,Post Reaction,Reaction Group 1 Like Love Care Haha Wow,Reaction Group 2 Sad,Reaction Group 3 Angry,Comment,Sub-loai,Sentiment,Tich cuc,Trung lap,Tieu cuc,Spam,Binh luan mention tieu cuc den Prudential,Ty le Tieu cuc/Tich cuc + Trung lap,De xuat seeding,Tru cot Manual
1,BẢO VỆ QUYỀN LỢI KHÁCH HÀNG BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/bvqlkhbhnt/posts/1323500759653169/,Tự hào VIP112 #BVQLKH 💕,2,2,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
2,BẢO VỆ QUYỀN LỢI KHÁCH HÀNG BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/bvqlkhbhnt/posts/1323628082973770/,Ờmericờn Danh! Nhìn qua tưởng ghê gớm mà sát vô lại thất rất za zì và này nọ í 😄,14,14,0,0,3,y_kien_trung_lap,Trung lap,0,3,0,0,0,0/3 (0.0%),Normal,
3,BẢO VỆ QUYỀN LỢI KHÁCH HÀNG BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/bvqlkhbhnt/posts/1324773969525848/,,1,1,0,0,1,y_kien_trung_lap,Tich cuc,1,0,0,0,0,0/1 (0.0%),Normal,
4,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1616319619952338/,"Trong nhóm mình có anh/chị nào đang làm tư vấn bảo hiểm không ạ? Mình đang muốn kết nối thêm với một số anh/chị tư vấn ở các khu vực khác nhau. Thỉnh thoảng bên mình có người hỏi về bảo hiểm nhưng không phải nhu cầu nào mình cũng có người phù hợp để hỗ trợ. Nên muốn làm quen thêm với mọi người, sau này nếu có trường hợp phù hợp thì có thể hỗ trợ và kết nối cho nhau 😊 Anh/chị đang làm khu vực nào và chuyên dòng bảo hiểm nào có thể comment giao lưu nhé.",36,36,0,0,56,spam,Spam,2,7,0,45,0,0/9 (0.0%),Normal,
5,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1616406523276981/,"CHÀO MỪNG QUỐC KHÁNH 02/09 Độc lập, tự do là những giá trị vô giá được vun đắp, gìn giữ và trao truyền qua nhiều thế hệ. Để hôm nay, mỗi chúng ta được sống, được theo đuổi những điều tốt đẹp và vững tin hướng tới một tương lai tốt đẹp hơn. Nhân dịp Quốc khánh 02/09, AIA Việt Nam kính chúc Quý khách hàng và gia đình một kỳ nghỉ lễ ý nghĩa, trọn vẹn niềm vui bên những người thân yêu. Cùng trân quý những giá trị được trao truyền và tiếp tục vững bước trên hành trình Sống Khỏe hơn, Lâu hơn, Hạnh phúc hơn. #PhúBảoHiểm #BảoHiểmViệnPhí #BảoHiểmSứcLaoĐộng #BảoHiểmChoNgườiTrụCột #BảoHiểmBệnhHiểmNghèo",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
6,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1616423609941939/,"11 triệu tỷ đồng – là số tiền người dân Việt Nam đang gửi tại ngân hàng. Trong khi đó, chỉ khoảng 11–12% dân số có bảo hiểm nhân thọ. Điều này cho thấy: người dân không thiếu tiền để bảo vệ mình, mà chúng ta chưa giúp họ nhìn thấy đủ rõ giá trị của sự bảo vệ. Tiền gửi giúp tích lũy khi cuộc sống bình thường. Bảo hiểm giúp bảo vệ kế hoạch tài chính khi điều không bình thường xảy ra. Vì vậy, người tư vấn hôm nay không chỉ cần “bán một hợp đồng”, mà cần giúp khách hàng hiểu rủi ro, hiểu nhu cầu và hiểu vì sao một phần tài sản nên được dành cho sự bảo vệ. Khoảng trống của thị trường không nằm ở tiền. Nó nằm ở niềm tin, nhận thức và cách chúng ta tư vấn. ❤️✅Còn rất nhiều gia đình đang có khả năng tài chính, nhưng chưa có một kế hoạch bảo vệ tương xứng. Đây chính là cơ hội và cũng là sứ mệnh của người làm bảo hiểm. #PhúBảoHiểm #BảoHiểmViệnPhí #BảoHiểmSứcLaoĐộng #BảoHiểmChoNgườiTrụCột #BảoHiểmBệnhHiểmNghèo",4,4,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
7,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1616457243271909/,GENERALI - MỪNG QUỐC KHÁNH 02/09 🇻🇳🇻🇳🇻🇳 🎁 𝐍𝐡𝐚̣̂𝐧 𝐧𝐠𝐚𝐲 𝐪𝐮𝐚̀ 𝐭𝐚̣̆𝐧𝐠 𝐭𝐢𝐞̂̀𝐧 𝐦𝐚̣̆𝐭 𝐭𝐮̛𝐨̛𝐧𝐠 đ𝐮̛𝐨̛𝐧𝐠 𝟐𝟎% 𝐡𝐨𝐚̣̆𝐜 𝟑𝟎% 𝐩𝐡𝐢́ 𝐛𝐚̉𝐨 𝐡𝐢𝐞̂̉𝐦 của thẻ sức khoẻ Generali NỘI - NGOẠI TRÚ HẠNG TIÊU CHUẨN . Cụ thể : 🔥 Tặng 30% phí thẻ sức khoẻ : Áp dụng cho Người được bảo hiểm từ 0 đến 5 tuổi. 🔥 Tặng 20% phí thẻ sức khoẻ : Áp dụng cho Người được bảo hiểm trên 5 tuổi ⏰ Thời gian áp dụng: Từ 01/09/2026 đến 30/09/2026 📩 𝐂𝐨̛ 𝐡𝐨̣̂𝐢 đ𝐞̂̉ 𝐜𝐡𝐨̂́𝐭 𝐭𝐡𝐚𝐦 𝐠𝐢𝐚 𝐭𝐡𝐞̉ 𝐬𝐮̛́𝐜 𝐤𝐡𝐨𝐞̉ 𝐆𝐞𝐧𝐞𝐫𝐚𝐥𝐢 𝐤𝐡𝐨̂𝐧𝐠 đ𝐨̂̀𝐧𝐠 𝐜𝐡𝐢 𝐦𝐨̣𝐢 𝐥𝐮̛́𝐚 𝐭𝐮𝐨̂̉𝐢. - 𝐊𝐡𝐚́𝐧𝐡 𝐇𝐚̀ 𝐁𝐚̉𝐨 𝐡𝐢𝐞̂̉𝐦 | 𝐁𝐚̉𝐨 𝐡𝐢𝐞̂̉𝐦 𝐆𝐞𝐧𝐞𝐫𝐚𝐥𝐢 - 𝑪𝒉𝒂̆𝒎 𝒔𝒐́𝒄 & đ𝒐̂̀𝒏𝒈 𝒉𝒂̀𝒏𝒉 𝒌𝒉𝒂́𝒄𝒉 𝒉𝒂̀𝒏𝒈 𝒕𝒓𝒆̂𝒏 𝒕𝒐𝒂̀𝒏 𝒒𝒖𝒐̂́𝒄 📞 09.686.739.7️⃣6️⃣ #KhanhHaBaohiem #DaiLeMung2Thang9 #QuatangGenerali #TheSucKhoeGenerali,0,0,0,0,3,san pham va giai phap,Spam,0,0,0,3,0,0/0 (0%),Normal,
8,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1616515806599386/,Minh cần tham gia bảo hiểm tích lũy kèm sức khỏe cho bản thân . Tài chính tầm 30tr. A/c nào beên bảo hiểm uy tín tư vấb giúp mình ạ. Zalo 038. 6453.523. Mình cảm ơn !,21,21,0,0,29,spam,Spam,2,1,0,25,0,0/3 (0.0%),Normal,
9,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1616656733251960/,"🔥 ĐỪNG CHỜ ĐẾN KHI CẦN MỚI NGHĨ ĐẾN BẢO VỆ! Chỉ từ 33K/NGÀY, bạn đã có thể chủ động chuẩn bị một lớp bảo vệ cho sức khỏe, tài chính và tương lai của cả gia đình. 💚 Bệnh tật không báo trước. Tai nạn không hẹn ngày. Nhưng sự chuẩn bị thì có thể bắt đầu ngay hôm nay. 👉 Được bảo vệ càng sớm – càng chủ động trước những rủi ro bất ngờ. Đừng chậm trễ. Đừng đợi “ngày đẹp” để bắt đầu bảo vệ chính mình và người thân. 📞 08.696.888.62 – Phạm Tuấn Anh Manulife Việt Nam",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
10,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1616676876583279/,"Ai chơi lễ chứ giờ em còn bận edit 🥲 Mọi người ủng hộ kênh em nha, flop quá 😤 TikTok: https://www.tiktok.com/@kietbaohiem Facebook: https://www.facebook.com/Kiet.MDRT/reel YouTube: https://youtube.com/@kietgenerali 📂 Tổng hợp một số case chi trả quyền lợi bảo hiểm gần đây: https://drive.google.com/drive/u/1/folders/1AKmh6iDXzPth7WcRSHacS_vrmBrFx9sppL3OMziwEWmlZGHUoW7jzbjAkJxjkGQC2CQ6YeQV",1,1,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
