pain_point,cluster_name,cluster_id
bi loai tru bao hiem,Sản phẩm / giải pháp,san_pham_giai_phap
bán hàng theo kpi,Khác,other
bảo hiểm thai sản không phù hợp,Khác,other
bị spam,Spam,spam
bị từ chối bảo hiểm,Khác,other
chăm sóc khách hàng kém,Dịch vụ tư vấn,dich_vu_tu_van
giới hạn chi trả,Chính sách & quy trình bồi thường,chinh_sach_quy_trinh_boi_thuong
kho mua the suc khoe cho nguoi lon tuoi,Khác,other
khong biet thoi gian tham dinh lai,Khác,other
khong co nguoi ho tro sau ban,Khác,other
khong ke khai suc khoe day du,Khác,other
khách hàng bị động,Khác,other
khách hàng khó hiểu,Khác,other
khó mua bảo hiểm do tiền sử bệnh,Khác,other
khó mua bảo hiểm sức khỏe,Khác,other
không tái tục,Khác,other
loai tru benh co san,Sản phẩm / giải pháp,san_pham_giai_phap
loại trừ bệnh hô hấp,Sản phẩm / giải pháp,san_pham_giai_phap
loại trừ xét nghiệm,Sản phẩm / giải pháp,san_pham_giai_phap
lừa đảo,Bảo hiểm chung,bao_hiem_chung
pham vi bao hiem co gioi han,Sản phẩm / giải pháp,san_pham_giai_phap
pham vi bao hiem khong ro,Sản phẩm / giải pháp,san_pham_giai_phap
phan hoi cham,Dịch vụ tư vấn,dich_vu_tu_van
phí bảo hiểm cao,Khác,other
quy trình không rõ ràng,Chính sách & quy trình bồi thường,chinh_sach_quy_trinh_boi_thuong
spam,Spam,spam
sản phẩm phức tạp,Sản phẩm / giải pháp,san_pham_giai_phap
thiet ke goi khong phu hop,Khác,other
thiếu giấy tờ,Khác,other
thiếu kiến thức nghiệp vụ,Bảo hiểm chung,bao_hiem_chung
thiếu thông tin hợp đồng,Sản phẩm / giải pháp,san_pham_giai_phap
thẩm định sức khỏe,Khác,other
tiền sử bệnh lý,Khác,other
tu chi tra chi phi y te,Chính sách & quy trình bồi thường,chinh_sach_quy_trinh_boi_thuong
tu choi boi thuong,Chính sách & quy trình bồi thường,chinh_sach_quy_trinh_boi_thuong
tu choi ho tro,Dịch vụ tư vấn,dich_vu_tu_van
tăng phí,Khác,other
tư vấn không chuyên nghiệp,Dịch vụ tư vấn,dich_vu_tu_van
đồng chi trả,Chính sách & quy trình bồi thường,chinh_sach_quy_trinh_boi_thuong
ứng dụng lỗi,Khác,other
