PostID,PostURL,Date,PostContent,group_id,group_name,group_url,author_name,author_url,reaction_count,Like_Count,Love_Count,Care_Count,Haha_Count,Wow_Count,Sad_Count,Angry_Count,share_count,comment_count,image_urls,video_url
1324773969525848,https://www.facebook.com/groups/bvqlkhbhnt/posts/1324773969525848/,2026-09-02,,bvqlkhbhnt,BẢO VỆ QUYỀN LỢI KHÁCH HÀNG BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/bvqlkhbhnt/,Ngô Hà Minh,https://www.facebook.com/ngohaminh,1,0,0,1,0,0,0,0,0,1,,
1746969396510384,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746969396510384/,2026-09-02,các bác cho e xin riview về trải nghiệm dùng bảo hiểm tại các ngân hàng với ạ. có điều gì cần lưu ý ko ạ. Và cho e xin vote ngân hàng có chính sách tốt ạ. Em cảm ơn,hoireviewbaohiem,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/,Anonymous participant,,8,6,2,0,0,0,0,0,0,15,,
2502471760256715,https://www.facebook.com/groups/hotrobaohiem/posts/2502471760256715/,2026-09-02,"Em xin tư vấn một chút ạ. Em có mua bảo hiểm PTI. Hôm vừa rồi em đậu xe bên đường thì bị xe Xanh SM tông vào, làm móp 2 cánh cửa, khả năng phải thay mới. Bên em đã gọi tổng đài bảo hiểm và cung cấp biển số của xe Xanh SM đã tông vào xe em. Sau đó bên bảo hiểm có xuống kiểm tra và xác định xe Xanh SM là bên sai, nên phía Xanh SM phải chịu trách nhiệm bồi thường. Tuy nhiên, em được biết xe Xanh SM cũng có mua bảo hiểm, nhưng bảo hiểm của họ chỉ chi trả một phần, phần còn lại tài xế phải tự bỏ tiền ra. Mà tài xế hiện tại không có khả năng chi trả. Trong trường hợp này, em muốn hỏi là bảo hiểm PTI của xe em có thể đứng ra bồi thường cho xe em trước được không ạ? Sau đó PTI có thể làm việc với phía Xanh SM để thu hồi chi phí bồi thường hay không? Hôm xảy ra sự việc không có công an đến lập biên bản. Tuy nhiên, hai bên có một biên bản viết tay và bên Xanh SM có ký xác nhận rằng họ là bên gây ra sự việc và chịu trách nhiệm ạ. Mong anh/chị tư vấn giúp em trường hợp này với ạ. Em cảm",hotrobaohiem,TƯ VẤN QUYỀN LỢI BẢO HIỂM,https://www.facebook.com/groups/hotrobaohiem/,TalentedCamel6253,,22,22,0,0,0,0,0,0,0,7,,
28580160308263038,https://www.facebook.com/groups/congdongtuvanvienbaohiem/posts/28580160308263038/,2026-09-02,,congdongtuvanvienbaohiem,Cộng đồng Tư vấn viên bảo hiểm,https://www.facebook.com/groups/congdongtuvanvienbaohiem/,Truong Thi Thu Lua,https://www.facebook.com/truong.thi.thu.lua.2025,0,0,0,0,0,0,0,0,0,0,,
1617590013158632,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1617590013158632/,2026-09-02,,baohiemnhantho.chuyenvien,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/,Truong Thi Thu Lua,https://www.facebook.com/truong.thi.thu.lua.2025,0,0,0,0,0,0,0,0,0,0,,
28579920261620376,https://www.facebook.com/groups/congdongtuvanvienbaohiem/posts/28579920261620376/,2026-09-02,Cần tư vấn bảo hiểm cho 2 vk ck Bác nào tư vấn giúp e với ạ Zalo e 0936823137,congdongtuvanvienbaohiem,Cộng đồng Tư vấn viên bảo hiểm,https://www.facebook.com/groups/congdongtuvanvienbaohiem/,Lương_Tạo,,15,15,0,0,0,0,0,0,0,48,,
28579888561623546,https://www.facebook.com/groups/congdongtuvanvienbaohiem/posts/28579888561623546/,2026-09-02,"Cấp mã vào app kho hàng hơn 8000 căn chính chủ, HH 3% về túi ngay, miễn phí tất cả. Lh: 0962.187.895",congdongtuvanvienbaohiem,Cộng đồng Tư vấn viên bảo hiểm,https://www.facebook.com/groups/congdongtuvanvienbaohiem/,Phan Thị Thuý Vân,https://www.facebook.com/phan.thi.thuy.van.168628,0,0,0,0,0,0,0,0,0,0,,
1746944223179568,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746944223179568/,2026-09-02,"Cần tìm 1 bảo hiểm cho con 0 tuổi kèm những điều kiện nội trú chi trả 100%, ngoại trú chi trả cả những xét nghiệm âm tính.",hoireviewbaohiem,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/,Anonymous participant,,28,21,4,0,2,1,0,0,3,66,,
1746881909852466,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746881909852466/,2026-09-02,Bên mình có ai bán bảo hiểm nhà ở và cửa hàng không,hoireviewbaohiem,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/,Anonymous participant,,1,1,0,0,0,0,0,0,0,5,,
1746718619868795,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746718619868795/,2026-09-02,"Năm ngoái em nhờ mẹ đứng tên bên mua bảo hiểm (hãng AIA), người được BH là em. Năm nay em đổi lại người đứng tên mua là em được không ạ?",hoireviewbaohiem,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/,Anonymous participant,,12,11,1,0,0,0,0,0,1,18,,
1746700209870636,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746700209870636/,2026-09-02,"Nên mua thẻ bảo hiểm loại nào??? Em đã có thẻ bảo hiểm nhân thọ của PVI, Daiichi và Manulife rồi. Em mới sinh bé được 1 tháng, giờ muốn mua bảo hiểm cho con để được bảo vệ khi bị ốm phải đi viện. Vậy em nên mua thẻ loại nào? Và nên mua của hãng nào để được tối ưu nhất ạ? Em cảm ơn!",hoireviewbaohiem,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/,Hari_Hari4348,,13,12,1,0,0,0,0,0,0,17,,
